,precision,recall,f1-score,support
bobcat,0.8938547486033519,0.8648648648648649,0.8791208791208792,740.0
coyote,0.925531914893617,0.841031149301826,0.8812605514912775,931.0
deer,0.9621212121212122,0.977997799779978,0.9699945444626296,909.0
empty,0.8703976435935199,0.936608557844691,0.902290076335878,631.0
fox,0.7596153846153846,0.9575757575757575,0.8471849865951742,165.0
mountain_lion,0.6666666666666666,1.0,0.8,6.0
accuracy,0.9068598462448255,0.9068598462448255,0.9068598462448255,0.9068598462448255
macro avg,0.8463645950822921,0.929679688227853,0.879975173000973,3382.0
weighted avg,0.9095944293671406,0.9068598462448255,0.9067589077056484,3382.0
