True,Predicted,Count
coyote,bobcat,335
empty,bobcat,212
coyote,fox,173
coyote,empty,140
deer,fox,114
bobcat,empty,109
bobcat,fox,108
coyote,deer,98
bobcat,coyote,73
empty,fox,63
empty,deer,58
deer,bobcat,37
deer,coyote,33
deer,empty,32
bobcat,deer,32
fox,deer,25
fox,bobcat,19
empty,coyote,8
fox,empty,4
fox,coyote,3
mountain_lion,fox,2
mountain_lion,deer,1
