,precision,recall,f1-score,support
bobcat,0.40940254652301666,0.5648648648648649,0.4747302668938103,740.0
coyote,0.6125827814569537,0.19871106337271752,0.3000811030008111,931.0
deer,0.7640573318632855,0.7623762376237624,0.763215859030837,909.0
empty,0.5043478260869565,0.4595879556259905,0.48092868988391374,631.0
fox,0.1986062717770035,0.6909090909090909,0.3085250338294993,165.0
mountain_lion,1.0,0.5,0.6666666666666666,6.0
accuracy,0.5035481963335304,0.5035481963335304,0.5035481963335304,0.5035481963335304
macro avg,0.5814994596178692,0.5294082020660711,0.4990246032175896,3382.0
weighted avg,0.5691348556272199,0.5035481963335304,0.4975788746755832,3382.0
